idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,0-4,1,2637,37.92188092529389
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,5-9,2,2427,82.40626287597857
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,10-14,0,2307,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,15-19,0,2365,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,20-44,2,10662,18.758206715438003
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,45-54,0,2885,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,55-64,0,1685,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,65-74,0,656,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,75+,0,222,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,0-4,4,2704,147.92899408284023
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,5-9,4,2427,164.81252575195714
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,10-14,1,2307,43.346337234503686
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,15-19,3,2435,123.20328542094457
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,20-44,1,10929,9.149967975112087
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,45-54,0,2984,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,55-64,0,1777,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,65-74,0,690,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,75+,0,231,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,0-4,7,2770,252.7075812274368
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,5-9,2,2426,82.44023083264634
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,10-14,2,2307,86.69267446900737
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,15-19,1,2505,39.92015968063872
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,20-44,1,11192,8.9349535382416
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,45-54,0,3084,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,55-64,1,1868,53.53319057815846
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,65-74,0,723,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,75+,0,240,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,0-4,9,2837,317.2365174480085
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,5-9,4,2425,164.94845360824743
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,10-14,1,2307,43.346337234503686
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,15-19,0,2575,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,20-44,2,11456,17.45810055865922
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,45-54,0,3184,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,55-64,0,1960,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,65-74,0,756,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,75+,0,249,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,0-4,13,2904,447.6584022038568
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,5-9,5,2424,206.27062706270624
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,10-14,2,2307,86.69267446900737
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,15-19,2,2645,75.61436672967864
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,20-44,1,11720,8.532423208191126
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,45-54,1,3284,30.45066991473812
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,55-64,0,2052,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,65-74,0,789,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,75+,0,258,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,0-4,10,2970,336.70033670033666
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,5-9,9,2423,371.4403631861329
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,10-14,9,2307,390.11703511053315
