idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,0-4,1,2637,37.92188092529389
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,5-14,2,4734,42.24757076468103
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,15-44,2,13027,15.35272894757043
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2017,45+,0,5448,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,0-4,4,2704,147.92899408284023
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,5-14,5,4734,105.61892691170257
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,15-44,4,13364,29.9311583358276
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2018,45+,0,5682,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,0-4,7,2770,252.7075812274368
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,5-14,4,4733,84.51299387280794
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,15-44,2,13697,14.601737606775208
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2019,45+,1,5915,16.9061707523246
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,0-4,9,2837,317.2365174480085
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,5-14,5,4732,105.66356720202874
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,15-44,2,14031,14.254151521630675
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2020,45+,0,6149,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,0-4,13,2904,447.6584022038568
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,5-14,7,4731,147.96026210103574
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,15-44,3,14365,20.884093282283327
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2021,45+,1,6383,15.666614444618517
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,0-4,10,2970,336.70033670033666
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,5-14,18,4730,380.5496828752643
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,15-44,8,14698,54.429174037283985
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2022,45+,1,6616,15.114873035066505
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,0-4,2,3037,65.85446163977609
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,5-14,4,4730,84.56659619450316
