review_id,citation,location_admin2,location_admin3,location_lat,location_lon,n,n_pos,mid_age
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,1,0,1
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,7,2,2
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,7,1,3
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,7,1,4
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,2,0,5
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,11,7,6
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,4,3,7
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,6,2,8
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,7,4,9
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,9,9,10
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,10,9,11
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,1,1,13
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,9,8,14
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,12,11,15
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,6,6,16
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Barat,Kali Deres,-6.152,106.697,8,7,17
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Selatan,Pesanggrahan,-6.253,106.762,7,2,1
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Selatan,Pesanggrahan,-6.253,106.762,3,0,2
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Selatan,Pesanggrahan,-6.253,106.762,6,4,3
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Selatan,Pesanggrahan,-6.253,106.762,5,3,4
2,Tam CC et al. 2018. PLoS Negl Trop Dis.,Kota Jakarta Selatan,Pesanggrahan,-6.253,106.762,3,2,5
